label,leftcontext-cat,targetword-cat
2,одессит Игорь который уже привлекался к ответственности за разбой и 35 летний Валерий зайдя в ювелирной,лавке
2,старинным городом Иркутском обзорная экскурсия Обед в кафе города Свободное время посещение сувенирной,лавки
2,какие нить неписанные традиции или табу и что люди обидятся а я буду чувствовать себя слоном в посудной,лавке
2,топливо для моторов и дрова для костра лоток с самыми необходимыми рыболовными товарами и продуктовая,лавка
2,которые практически невозможно описать Он знал очень много Он знал так много что однажды купил в,лавке
2,собор Музей Деревянного зодчества Архитектурный ансамбль Покровского монастыря Посещение сувенирной,лавки
2,Доминиканскую Республику не забудьте привезти домой сувениры которые продают во многих сувенирных,лавках
2,году в Обираловском пристанционном поселке насчитывалось около 200 домов Появились казенная винная,лавка
2,сегодня заказала себе еще,лавки
2,есть сторона Ladies есть Gents но этого обычно никто не придерживается только в букшопе и овощной,лавке
2,Любители всякой эзотерики порадуются всевозможным благовониям чаям маслам по смешным ценам Вообще,лавки
2,произведения искусства,лавках
2,среди покупателей Торговые марки Янта Байкальские молочные продукты Капитан Милк Молочная,лавка
2,оставалась в рукописи Издана лишь в 1780г Первое очень редкое издание В 1787г в московских книжных,лавках
2,свой Домик Ферма дает слот на гладиатора и возможность приобрести такую прекрасную вещь как Торговую,Лавку
2,подарки должны быть одинаковыми Взяли броник поехали в ближайший город за подарками Долго ходили по,лавкам
2,шумной толпы в поисках торговцев плодовыми семенами Долго бродил он разглядывая выставленные возле,лавок
2,Росляков по настоянию горожан на плане города указал вновь прожектированное место для деревянных мелочных,лавок
2,далеко не сразу Официально она продолжала считаться Адмиралтейской но жители города хорошо знавшие,лавку
2,четыре ресторана самообслуживания Любо дорого эти заведения работают на фуд кортах три кондитерских,лавки
2,магазинах продукция представлена обычно как минимум одной товарной группой Т е если это к примеру мясная,лавка
2,писательницы Дафны Дюморье создавшей знаменитую Ребекку Она проводила часы в архивах и букинистических,лавках
2,капканами крыс и оснимывали их Иные парнишки начали шариться по карманам родителей мухлевать со сдачей в,лавке
2,Пилес главная улица старого города уютная и узенькая На ней очень интересные рестораны сувенирные,лавки
2,молодую девушку Маргарет Ли в качестве личного биографа,лавке
2,Пойдите же и возьмите у них то и то и ничего взамен не давайте И бросился народ к лавкам и разрушили,лавки
2,залопотал по гречески Спустили сходни быстро и споро перетаскали тюки Спиридон удалился с хозяином в,лавку
2,как он действительно обнимает прямо на пороге своего магазина пани Яну а потом пани Яна выносит из,лавки
