label,text-cat
pos,"i have used the camera for three months , and absolutely love it ! the pictures are crisp ( even very close-ups ) , and the video feature is right up there . sound pick-up is excellent . i have created two dvd 's combining videos and still pictures . folks have thought the quality was very good . the battery life was rated very good , and i have found this to be true . i carry the camera with me nearly everywhere i go . people are impressed with the size . drawbacks ? because of its size , there are no connections from the camera to a computer , tv or battery charger . the docking station is small and lightweight . because of the battery life , i have never been away from home long enough to need recharging . i recommend the camera without reservations , and will look first to casio in the future"
pos,"i received the tripod ahead of the expected schedule . i 've been looking at tripods in stores in and around the greater boston area . you ca n't get a better tripod for the money . in fact , you ca n't get anything "" decent "" for under $40-50 and even then i 'm not sure you will get something this good . i had it shipped to my job and a few guys in the office ( which i did n't know ) had purchased a tripod in the past and where really impressed when i told them i only paid $25 for it . conclusion : is the tripod perfect , no . the head looks a little like plastic . but it has nice rubber feet and rubber grip in addition to everything listed on the website . this tripod is perfect for the beginner to enthusiast photographer ."
neg,"i bought this product in rite aid . unfortunately , it irriates my face . they are scamming people just to buy this product . instead of repairing my face , this product damage my face . there are a lot of wierd red spot that grows on my face since i start using this . now , i need to go to the dermatologist and have a surgery due to this product . if i knew this will happen , i will not waste my money to buy this product ."
neg,"this cd is pretty awful , you wonder why leona even got the chance to record a cd , one of the worst songs ever is calling , , it sounds like taunting from elementary school kids on the playground , na na na na , na na na na , i agree with the reviewer who said she is a very weak edie brickell sounding singer....... ."
neg,"this cd while full of nice music , is to me rather pointless . it 's listed as a sound track but all it has is background music instrumentals . does anyone know the titles of the actual songs used in the movie ? aside from crazy train"
pos,"nick xu , if you ca n't figure out the difference between this lens , and the cheaper consumer grade lenses , by all means , stay with the cheaper consumer grade lenses . after all , "" mr magoo "" of cartoon fame could n't tell a chevy from a rolls royce . all kidding aside , this lens is simply awesome in use . having one of these lenses in a camera bag is very close in practice to owning three or four high end prime lenses . yes , it 's that good . i am using a borrowed version right now , but as soon as i pay off my new 24-105 f / 4 l is usm lens ( very , very awesome ) , i will buy my own 70-200 f / 2.8 is usm . it 's as good as it gets in this lens range , but if you feel comfortable with a pinhole camera , carry on , as it 's all about the end user . for everyone else , this lens is the holy grail of mid range telephoto lenses . it is simply the best available in it 's range , and responds well to canon tele adapters . if you can figure out a way to afford this lens , buy it , as it is all that . if you are a nikon lover buy this lens anyway , and buy a fairly cheap 20d body to make it work . it 's ok to tell your friends that you used a nikon to take the pics , but you will end up knowing that canon is the premeir lens crafter of the 21'st century . ( sorry , nikon fans , but this lens stands all by it 's self in the grand scheme of things . it 's simply awesome . )"
pos,"this is not a fad diet . this is a simple , straighforward and helpful guide on how to eat . puhn 's style is friendly and upfront . i read this book over two years ago , and my eating habits will never be as random and damaging as they used to be , because the principles described are easy to implement . great book"
neg,"ah.. . um.. . well , my brother picked this up not too long ago , and , well.. . it sucks ! it 's the worst of the whole series ! i thought it would have to do with the mask michael wears in the others , but not a ficken thing ! ! ! ! ! ! ! ! ! ! ! ! i gave it two stars because i liked the killing scene in the hospital , but then i took one because of how bad the rest was. ."
pos,"i have seen phantom on stage twice and regularly listen to this cast recording . it is a different approach to the classic leroux novel ; one that is gentler and more romantic , but still intense and passionate . the lyrics and music are excellent . even if you are an alw / pto fan , do n't miss this production if it plays nearby ."
neg,"i have been listening to military band music for years , and am rarely disappointed . however , this compendium of music by the u.s. navy , army , and marine bands and associated choral groups is not to my taste . many of the arrangements are strange , and there is much too much vocal music when what i want to hear is the bands play . i would not have bought this album hhad i known beforehand what i know now"
neg,"the s9000 fits perfectly in the case . too bad the case has no strap and no belt loop . apparently , the camera strap is supposed to function as the case strap also . too bad the camera strap is extremely short , made for very small people . so , instead of returning it and using a generic case that would not protectthe camera as well , i will adapt the case to work for me . i will get a bigger aftermarket strap for the camera . i can take the case to my seamstress and have a belt loop sewn on . it will work but only after extensive modification . great camera design so it 's odd that the case appears to have been designed by someone who has never used a camera before"
neg,"it 's ok that helps to moisturize the skin , but it 's just stays oily and cannot be absorbed appropriately in the skin ."
pos,"for hard-driving well-crafted rock-and-roll from the late 70s / early 80s , you ca n't do much better than pat benatar ( and heart ) and this collection carries most - - but not all - - of the singles that dominated the airwaves for 4 years : heart breaker , hit me with your best shot , love is a battlefield , fire and ice , promises in the dark . but no benatar collection is complete without ' treat me right ' , ' you better run ' , and ' i want a lover who wo n't drive me crazy ' ( superior , in my opinion , to the john mellencamp version ) , especially if you prefer benatar 's hard-driving rockers to her slower ballads . nevertheless , ' best shots ' is a great place to start and certainly - at $10-15 versus $50 for the more complete ' all fired up ' - - the best value for the money ."
pos,"i purchased this as a gift for a friend who has beautiful long hair and she told me they worked wonderfully . i also own a set and have had them for several years travelling with me to the office , gym and around the world . they are easy to pack and are lightweight"
neg,"i was super-excited to get this camera , and very disappointed with it once i did . the pictures are blurry far more often than not , even when resting the camera on a table or solid object . additionally , it 's so slow at taking them that any movement ( eyes blinking , etc ) likes like a massive blur . and the video skips all the time . it just misses entire parts . i would highly recommend not getting this camera ."
pos,i have several of these glasses now . love them . they are strong and adjustable and so much better then wearing the granny cord around your neck . i wish there was a berrer looking sunglass besides that goggle looking one . good price and good product .
neg,"i was expecting to see a decent film by bava , but after having seen about 5 of his films , i can only guess that is he is a very good stylist but he lacks the capability to engage us with a story or to even scare us . most of his films are gorgeous to behold but they are vapid and have no story , this film is just like all the rest . there is no point to any of it , there is no plot and hardly any suspense , suffice it to say it might be interesting for a 12 year old horror goof but to an adult , its quite tedious . chris lee is rather banal also , he does n't do much and it seems that he dubbed his own voice in the studio , most of the cast is rather dull also , supposedly playing some ancient noble family , they look more like 1960 's mop heads and morons who were on too much acid . the dialogue , what there is , is crude , probably written by a drunk italian because there are so many mistakes , one example was when lee was whipping the lady on the beach and she says , "" i ca n't have more ice cream ! "" so , i would suggest renting "" planet of the vampires "" because that is more enjoyable than this waste . interesting character to note was "" lesmo "" , dubbed as the "" european peter lorre "" who does n't have much in the way of presence or acting skills and he looks like a cross between a frog and a midget ."
pos,"if you ca n't get enough of zombie comedies this year , i seriously recommend this one , made in the czech republic of all places ! i saw it at the tribeca film festival ( ny ) and it was tremendous fun . bloody , funny , and smart . an intellectual twist on the "" secluded retreat "" idea - a group gathers at a hotel to do a weekend course about the meaning of their lives . and of course , they 're overrun by zombies . i especially love the way the film weaves between existential exploration and hilarious gore-fest . it works on so many different levels - while your first reaction to it may be mostly visceral , your attention will soon shift to the clever jokes , the interesting characters , and the joyful way it plays with film conventions . this is a rare and unusual film to come out of the czech republic . i was disappointed that it did n't get a theatrical release in the us , so i 'm really glad that it 's coming out on dvd . humor / horror fans will not be disappointed !"
pos,"old spice classic is far and away the best deodorant i 've ever used . it goes on clean , unlike those "" powdery "" white deodorants . it also has a great fragrance and longevity after application . i think a lot of that is due to the high alcohol content ; if you look at the ingredients , you 'll see that alcohol is listed first . in fact , the container sports a "" flammable "" warning . the alcohol really does work well to contain odor . alcohol-based deodorants are pretty hard to find , so i 'm thankful this product is still being made"
pos,"a quick look at the first several tutorials had me up and running . i 've been able to do most of the things i 've wanted to do with this program and it 's delivered on most of its promises . my wife loves it too . i have to remind myself that i 'm not an architect and this is n't a professional program , though . it does most things really well but it has some short comings . i 'm trying to draw my house right not which is a 4 level and have n't had any luck yet . although i 've net seen all tutorials , i 'm doubtful the program can do it at all . foundations have been difficult to manipulate at best . my planned home addition includes a home theater and i 've had to use work-arounds to get risers and sound insulated walls . ( which messes up my already difficult to use cost estimator . ) but it has let me put in chairs , speakers , and a projector screen which makes the 3d views very close to what the finished product may look like . the framing view is a dud as it appears to serve no practicle purpose . so as long as you have realistic expectations from the program it should make you very happy . basic functions are easy to learn and my wife and i 've had a blast planning our addition . i ca n't imagine designing our addition / remodel without it . i would buy it again"
pos,"if you like vocalese , then this cd is for you . the song selection and performances are excellent . in my opinion , it stands up with the best lambert , hendricks , and ross stuff . it is clear that a lot of love and effort went into the making of this record . buy and enjoy"
