label,leftcontext-cat,targetword-cat
2,одессит игорь который уже привлекаться к ответственность за разбой и 35 летний валерий зайти в ювелирный,лавке
2,старинный город иркутский обзорный экскурсия обед в кафе город свободный время посещение сувенирный,лавки
2,какой нить неписать традиция или табу и что человек обидеться а я быть чувствовать себя слон в посудный,лавке
2,топливо для мотор и дрова для костра лоток с самый необходимый рыболовный товар и продуктовый,лавка
2,который практически невозможно описать он знать очень много он знать так много что однажды купить в,лавке
2,собор музей деревянный зодчество архитектурный ансамбль покровский монастырь посещение сувенирный,лавки
2,доминиканский республика не забыть привезти домой сувенир который продавать в многий сувенирный,лавках
2,год в обираловский пристанционный посёлок насчитываться около 200 дом появиться казённый винный,лавка
2,сегодня заказать себя ещё,лавки
2,есть сторона ladies есть gents но это обычно никто не придерживаться только в букшоп и овощной,лавке
2,любитель всякая эзотерика порадоваться всевозможный благовоние чай масло по смешной цена вообще,лавки
2,произведение искусство,лавках
2,среди покупатель торговый марка янт байкальский молочный продукт капитан милк молочный,лавка
2,оставаться в рукопись издать лишь в 1780г первое очень редкий издание в 1787г в московский книжный,лавках
2,свой домик ферма давать слот на гладиатор и возможность приобрести такой прекрасный вещь как торговый,Лавку
2,подарок должный быть одинаковый взять броник поехать в ближний город за подарок долго ходить по,лавкам
2,шумный толпа в поиск торговец плодовый семя долго бродить он разглядывать выставить возле,лавок
2,росляк по настояние горожанин на план город указать вновь прожектировать место для деревянный мелочный,лавок
2,далеко не сразу официально она продолжать считаться адмиралтейский но житель город хорошо знать,лавку
2,четыре ресторан самообслуживание любо дорого этот заведение работать на фуд корт три кондитерский,лавки
2,магазин продукция представить обычно как минимум один товарный группа том е если это к пример мясной,лавка
2,писательница дафный дюморье создать знаменитый ребекка она проводить часы в архив и букинистический,лавках
2,капкан крыса и оснимывать они иной парнишка начать шариться по карман родитель мухлевать с сдача в,лавке
2,пилеса главный улица старое город уютный и узенький на она очень интересный ресторан сувенирный,лавки
2,молодая девушка маргарета ли в качество личный биограф,лавке
2,пойти же и взять у они то и то и ничто взамен не давать и броситься народ к лавка и разрушить,лавки
2,залопотать по гречески спустить сходня быстро и споро перетаскать тюк спиридон удалиться с хозяин в,лавку
2,как он действительно обнимать прямо на порог свой магазин пани ян а потом пани ян выносить из,лавки
2,стекло доводить они до нужный состояние очковый мастер узнать мы смеяться когда мы опять заходить в,лавку
2,смотреть но не покупать ничто ни на копейка говорить богач,лавку
2,шарманщик и зазывать покупатель продавец круглый вафля по чешски оплаток с ореховый начинка в,лавках
2,юй шу особый случай они продавать и продолжать продавать совершенно легально через аптека,лавки
2,с сла винским быть связать и подле каждый стоялый дюжий городов стефаний и анна сидеть в угол на,лавке
2,не суетливый пополнение набор маслице веточка свечечка водичка земелька из церковный,лавок
