label,text-cat
human,"I"
human,"you"
human,"family member"
place,"nursing home"
human,"my family"
human,"my grandmother"
human,"she"
place,"nursing home"
human,"she"
concrete,"walker"
time,"some time"
time,"months"
human,"she"
nonconc,"fall"
human,"she"
nonconc,"disease"
human,"Parkinson 's"
nonconc,"it"
human,"she"
nonconc,"care"
concrete,"her house"
human,"she"
place,"apartment"
nonconc,"that"
human,"you"
nonconc,"it"
nonconc,"change"
place,"location"
nonconc,"it"
human,"her"
human,"she"
nonconc,"traveling"
human,"I"
human,"she"
human,"all"
human,"children"
place,"United States"
human,"you"
human,"she"
time,"nine months"
time,"year"
human,"her children"
nonconc,"that"
human,"her"
human,"I"
human,"she"
nonconc,"realization"
human,"you"
human,"I"
nonconc,"care"
human,"myself"
human,"I"
human,"somebody"
human,"who"
human,"you"
time,"most"
time,"their life"
nonconc,"farm"
human,"ten children"
nonconc,"farm"
nonconc,"everything"
human,"her husband"
place,"coal mines"
human,"you"
nonconc,"that situation"
nonconc,"it"
nonconc,"quite dilemma"
human,"I"
nonconc,"one"
nonconc,"biggest decisions"
human,"I"
nonconc,"that"
human,"our family"
human,"one child"
nonconc,"that decision"
nonconc,"it"
human,"I"
human,"they"
oanim,"deal"
human,"and sisters"
human,"they"
nonconc,"conference"
human,"I"
nonconc,"it"
nonconc,"one"
nonconc,"most things"
human,"our family"
nonconc,"that"
human,"just children"
nonconc,"decision"
nonconc,"it"
human,"just them"
human,"you"
nonconc,"that decision"
nonconc,"place"
human,"everybody"
nonconc,"duties"
human,"You"
nonconc,"it"
human,"you"
nonconc,"money"
nonconc,"it"
anim-uncoded,"part"
nonconc,"lot"
nonconc,"decision making"
human,"you"
nonconc,"nursing home"
oanim,"they"
human,"I"
human,"they"
oanim,"it"
human,"I"
oanim,"it"
human,"I"
human,"I"
nonconc,"something"
nonconc,"that"
human,"my children"
nonconc,"something"
nonconc,"that"
human,"me"
human,"we"
human,"my grandmother"
human,"I"
nonconc,"it"
human,"she"
nonconc,"problem"
human,"she"
human,"her daughter"
human,"her"
human,"her daughter"
human,"her"
human,"her grandchildren"
human,"her"
time,"every day"
human,"I"
human,"she"
nonconc,"it"
nonconc,"one"
human,"I"
nonconc,"it"
nonconc,"it"
nonconc,"more"
nonconc,"relief"
human,"her"
human,"I"
human,"she"
human,"I"
human,"I"
human,"I"
human,"one"
human,"my parents"
nonconc,"or"
nonconc,"Alzheimer 's"
nonconc,"something"
nonconc,"that"
nonconc,"which"
human,"I"
nonconc,"one thing"
human,"they"
nonconc,"fact"
nonconc,"it"
human,"you"
nonconc,"but"
nonconc,"quantity"
nonconc,"care"
nonconc,"quality"
nonconc,"care"
human,"people"
human,"that"
nonconc,"it"
nonconc,"home environment"
human,"I"
human,"you"
human,"myself"
human,"I"
nonconc,"that"
nonconc,"what"
nonconc,"everything"
oanim,"it"
nonconc,"it"
nonconc,"home environment"
nonconc,"that"
nonconc,"question"
human,"You"
nonconc,"it"
human,"population"
place,"United States"
human,"you"
human,"minorities"
human,"they"
human,"families"
time,"such time"
nonconc,"matter"
nonconc,"fact"
place,"United States"
human,"we"
human,"families"
oanim,"It"
human,"I"
human,"we"
human,"you"
nonconc,"situation"
human,"we"
human,"family"
human,"we"
nonconc,"it"
nonconc,"reality"
nonconc,"it"
nonconc,"things"
human,"I"
human,"family"
human,"you"
oanim,"it"
nonconc,"one"
nonconc,"solutions"
nonconc,"lot"
nonconc,"things"
nonconc,"child care"
human,"You"
human,"I"
anim-uncoded,"course"
anim-uncoded,"there"
nonconc,"issues"
human,"you"
human,"we"
human,"they"
human,"caretaker"
human,"our children"
human,"I"
human,"they"
human,"us"
human,"I"
human,"you"
human,"I"
human,"I"
nonconc,"lot"
nonconc,"experiences"
human,"people"
human,"they"
human,"family"
human,"I"
human,"you"
human,"you"
human,"we"
nonconc,"family environment"
nonconc,"values"
human,"you"
human,"I"
oanim,"it"
nonconc,"money"
nonconc,"issue"
nonconc,"what"
time,"today"
human,"I"
human,"you"
human,"we"
nonconc,"money"
nonconc,"back burner"
nonconc,"that"
nonconc,"lot"
nonconc,"problem"
human,"I"
human,"I"
human,"we"
nonconc,"as standard"
nonconc,"living"
nonconc,"truer standard"
nonconc,"living"
human,"I"
nonconc,"that"
nonconc,"it"
anim-uncoded,"course"
human,"you"
nonconc,"it"
nonconc,"one"
nonconc,"things"
nonconc,"world"
human,"you"
human,"you"
nonconc,"it"
human,"you"
human,"you"
human,"you"
nonconc,"their good"
human,"I"
human,"you"
org,"them"
human,"my mother"
nonconc,"nursing home"
human,"She"
nonconc,"stroke"
time,"months"
human,"I"
human,"I"
human,"I"
human,"people"
human,"who"
org,"nursing home"
place,"our hometown"
human,"I"
human,"you"
nonconc,"it"
nonconc,"it"
nonconc,"point"
human,"we"
nonconc,"it"
anim-uncoded,"there"
human,"I"
nonconc,"occasion"
human,"my mother-in-law"
human,"who"
human,"you"
nonconc,"care"
human,"herself"
place,"nursing home"
time,"while"
nonconc,"that"
nonconc,"experience"
nonconc,"it"
nonconc,"hurry"
human,"I"
human,"we"
human,"you"
time,"six months"
org,"all"
org,"these places"
nonconc,"it"
nonconc,"deal"
human,"We"
org,"nursing home"
org,"that"
human,"we"
human,"she"
time,"weeks"
human,"she"
place,"her apartment"
nonconc,"it"
nonconc,"decision"
human,"you"
nonconc,"it"
human,"You"
anim-uncoded,"there"
nonconc,"something"
human,"we"
human,"you"
place,"all places"
org,"that"
anim-uncoded,"course"
human,"you"
anim-uncoded,"there"
concrete,"one"
place,"every corner"
human,"you"
