label,text-cat,pm-cat,sa-cat,cond-cat,Gloss of PM,Notes,Speech token
inf, if you're working honestly with your body and with your weight then it doesn't matter who's involved ,q,A,N,,,S1A-002 147
ifh,it's the sense of freedom of being able to just lie down if you want to ,q,A,N,,,S1A-003 110
res," if we say what we're what we're capable of and people are careful I mean, I don't think it's that risky ",p --> q,A,Y,,,S1A-003 114
res,in my lounge I have a place where I sit if I'm not going to get out of my chair ,p --> q',A,N,"If I'm not going to get out of my chair, I always sit in the same place",,S1A-003 134
inf, if the group isn't primarily concerned with therapy will it perform? ,q,D,N,,question,S1A-004 125
res, if they thought that it could be handled in feature geometry then they would probably READ the element bit as well and they might ultimately become interested in it ,p --> q,A,Y,,,S1A-005 023
res, if you say classical feature theory handles it then of course then you're back to all the old problems ,p',A,Y,I shouldn't use classical feature theory,,S1A-005 028
ifh, I'd go to the Palmer one if I was you ,q',D,Y,You should go to the Palmer one,,S1A-005 058
res, if they leave it they'll never do it ,p',A,Y,I don't think they should leave it,,S1A-005 154
inf, if you have a course like that then you've got to start looking at your course ,q',A,Y,the course is not appropriate,,S1A-005 172
res," if you don't know the simple command, how to get out of something you're sunk ",r,A,Y,there is too much background knowledge assumed,,S1A-005 183
res, if they'd had a break they would never have got back into it ,p',A,Y,it's good that they didn't have a break,,S1A-005 191
res, I was BLOWED if we were going to have just THAT ,p',A,Y,I wouldn't let them just have that,,S1A-005 236
inf,(028:A) Well Xepe seems to love the idea of having a picnic but I'm not so sure (029:B) Not if you've had lunch ,q',A,Y,you wouldn't want a picnic,,S1A-006 029
res, If we have a picnic for a start it's going to cost us cash which I haven't got,p',C,Y,I don't want to have a picnic,,S1A-006 043
res, I don't mind sillyish American films if they're GOODish sillyish Americanish films ,q,A,Y,,,S1A-006 099
ifh, We can get that out if you want ,q,D,N,,,S1A-006 162
res, Doesn't matter if it's really crap ,r,A,N,it doesn't matter what we see,,S1A-006 197
res," if it's really bad weather we'll just, you know stay in ",p --> q,C,Y,,,S1A-006 210
res, If it's a really nice day we could walk ,p --> q,D,Y,,,S1A-006 301
res, She'd be terribly offended if we didn't come and pick her up ,p',D,Y,we should go and pick her up,,S1A-006 322
inf, If it's something like half past five in the morning when you could easily sit down and have you know (325) by the time the luggage has come through and planes are delayed anyway you might just as well say ``well come and meet us at eight'' or something ,q,D,Y,,,S1A-006 324
inf,(017:B) You can't blame her for that really can you (018:C) If you gave it to her Dad ,q,D,Y,,,S1A-007 018
res, if he pegs out and she moves I'll have it back ,p --> q,C,Y,,,S1A-007 092
res, if I ever have to replace a back door I shall do so ,p --> q,C,Y,,,S1A-007 107
res,(185:A) if somebody comes down and starts... (186:C) What (187) swearing and cursing? ,p --> q,D,Y,,question,S1A-007 185
ifh, Come on in there if you want to ,q,D,Y,,,S1A-007 211
res,I'm sure they'd be delighted if you came from another university and wanted to use them ,p --> q,A,Y,,,S1A-007 227
inf, it's not his fault is it if he hasn't been sent the forms ,q,A,Y,,,S1A-007 232
res,(272:B) they're going to send everyone one aren't they regardless of whether you pay tax or not (274:E) They've got a tremendous job on if they do ,p --> q,A,Y,,,S1A-007 274
res, it might well help if you've actually done some ,p',D,Y,you should do some work experience,,S1A-008 017
res, it costs me like a a fiver more to come in for nine o'clock than it does if I come in for eleven ,p --> q,A,Y,,,S1A-008 043
