label,text-cat
Dolenjska,@Mat3ja e si ti nova tle al masš drug nov profil. Eno tejc pogrešam. Epic vrjanta. ??
Dolenjska,@Urska_ poèak na jutro ??
Dolenjska,Balkanski špijun :) Jao  ki so tisti cajti!
Dolenjska,A ves tist filing... dec odpele froca v varatvo  ti gres pa se mal polezavat. No  to. #priceless #GoodMorning to me :)
Dolenjska,@StellarGirl_ sej bom tvitu tut iz tam. Pa bos vidla.
Dolenjska,@tecenstarcek hec je bil  peace bro
Dolenjska,Sladkih prvih 6 let. Uh kolk èas hitr beži...
Dolenjska,Twiter je kot ena spovednica. Al spucevalnica. Al kva.
Dolenjska,@pietrodom @makrajnik @MaticKodric mal je blo res švoh še posebej iz NM  kjer je veter zrežiral dva res huda gola.
Dolenjska,@Stellarka toèn tk. Tip pa punca. Nevem kdo koga  ali pa kdo nnjih.
Dolenjska,Še tip iz tvja bi jo. http://t.co/KQfT3S9Caf
Dolenjska,@lenci53 hehe. Nism tako slab delavc. Rak dela svoje. Hvala bogu da se je rešu gospod.
Dolenjska,@PristovnikB ta srebrna je rosso  zame... gold pa za mojo... oz zame ko zmanjka rosso:)
Dolenjska,Di èeš naèi boljeg momka za te pare? http://t.co/vrCRbUb8T2
Dolenjska,@russhie toko jih je  da sm zmeden ko prej ??@magrateja
Dolenjska,@tretjeoko wtf  ljudem je oèitno res dolgèas  haha :D
Dolenjska,dooolgi sprehodi so res zakon! Možgani na off in uživanje :)
Dolenjska,@Mat3ja krajc je v igri;)
Dolenjska,@eenca pol bi blo 90% glasbenikov zaprtih  edino prav. :)
Dolenjska,Èe se mi pri #songpop že posreèi pr Abbi  se mi pol pr moji playlisti zagotovo ne @sasabatistic
Dolenjska,@Komanovmulc gluhi so  men je bla najbolsa od teh manca :)
Dolenjska,Sperma se = sprema se lol
Dolenjska,@macjipastir pornosti  ja... :)
Dolenjska,@ibyter nehi me se ti zajebavat :)
Dolenjska,@SturmG s @Hribar13 sva skor soseda ??
Dolenjska,Nogomet = futbol oz. moji proti mojim. Še dobr  da ne gre zares. Remi 2:2
Dolenjska,@ales_gantar kaj imajo americani zravn? Sem mutirala. Razvita. :)
Dolenjska,@Pal4e ok :D se pol zutrej slišmo :D
Dolenjska,@itsTheEpicMe tuki prej jst ;) Ona bo do penzije kr tam ;)
Dolenjska,In kes jim bo zrihtu JJ  sej ma veze... #tablice #soocenje #poptv #bullshit
Dolenjska,@ElvisJackson smo. Men ni prevec vsec
Dolenjska,Hotla ga je imet  zdj ga pa neguje do konc lajfa. #love
